38 Provinsi,,,
,Persentase Rata-Rata Konsumsi Telekomunikasi Rumah Tangga Terhadap Konsumsi Total Menurut Provinsi (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2023,2023,2023
ACEH,3.54,2.93,3.19
SUMATERA UTARA,3.8,3.42,3.66
SUMATERA BARAT,3.65,3.42,3.55
RIAU,3.86,3.88,3.87
JAMBI,4.13,3.73,3.89
SUMATERA SELATAN,3.87,3.07,3.44
BENGKULU,4.5,3.19,3.74
LAMPUNG,3.69,3.18,3.39
KEP. BANGKA BELITUNG,3.6,3.31,3.49
KEP. RIAU,3.82,3.88,3.83
DKI JAKARTA,3.53,-,3.53
JAWA BARAT,3.54,3.04,3.47
JAWA TENGAH,3.64,3.25,3.48
DI YOGYAKARTA,3.75,3.42,3.7
JAWA TIMUR,3.61,3.02,3.41
BANTEN,3.62,2.88,3.52
BALI,4.2,3.51,4.06
NUSA TENGGARA BARAT,2.75,2.56,2.67
NUSA TENGGARA TIMUR,4.57,3.22,3.72
KALIMANTAN BARAT,4.13,3.48,3.79
KALIMANTAN TENGAH,4.48,3.94,4.19
KALIMANTAN SELATAN,3.74,3.51,3.64
KALIMANTAN TIMUR,4.53,4.14,4.43
KALIMANTAN UTARA,4.69,4.09,4.5
SULAWESI UTARA,4.15,3.11,3.76
SULAWESI TENGAH,4.49,3.4,3.84
SULAWESI SELATAN,3.95,3.24,3.64
SULAWESI TENGGARA,3.87,3.68,3.77
GORONTALO,3.78,2.78,3.33
SULAWESI BARAT,3.81,3.23,3.39
MALUKU,5.36,4.02,4.76
MALUKU UTARA,4.72,3.92,4.22
PAPUA BARAT,5.44,4.5,4.95
PAPUA BARAT DAYA,-,-,-
PAPUA,4.81,3.33,4.17
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,3.71,3.28,3.58
