38 Provinsi,,,
,Persentase Rata-Rata Konsumsi Telekomunikasi Rumah Tangga Terhadap Konsumsi Total Menurut Provinsi (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2018,2018,2018
ACEH,3.57,2.65,3.04
SUMATERA UTARA,3.38,2.67,3.1
SUMATERA BARAT,3.49,2.73,3.14
RIAU,3.69,3.17,3.42
JAMBI,3.58,3.12,3.31
SUMATERA SELATAN,3.89,2.72,3.27
BENGKULU,3.75,2.64,3.11
LAMPUNG,3.67,2.91,3.2
KEP. BANGKA BELITUNG,3.54,2.99,3.33
KEP. RIAU,4.28,4.12,4.26
DKI JAKARTA,3.42,-,3.42
JAWA BARAT,3.25,2.59,3.13
JAWA TENGAH,3.2,2.81,3.04
DI YOGYAKARTA,3.29,2.69,3.19
JAWA TIMUR,3.42,2.44,3.07
BANTEN,3.65,2.34,3.42
BALI,3.88,3.41,3.76
NUSA TENGGARA BARAT,2.82,2.08,2.48
NUSA TENGGARA TIMUR,3.93,2.41,3
KALIMANTAN BARAT,4.13,2.84,3.44
KALIMANTAN TENGAH,4.41,3.53,3.93
KALIMANTAN SELATAN,3.7,2.85,3.34
KALIMANTAN TIMUR,4.14,3.79,4.05
KALIMANTAN UTARA,4.42,4.2,4.34
SULAWESI UTARA,3.72,3.03,3.45
SULAWESI TENGAH,4.88,2.96,3.71
SULAWESI SELATAN,3.95,2.97,3.5
SULAWESI TENGGARA,4.22,3.39,3.81
GORONTALO,3.97,3.18,3.58
SULAWESI BARAT,3.79,2.79,3.11
MALUKU,5.16,4.27,4.8
MALUKU UTARA,5.16,3.39,4.18
PAPUA BARAT,5.3,4.65,4.98
PAPUA BARAT DAYA,-,-,-
PAPUA,5,3.97,4.52
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,3.52,2.81,3.28
