38 Provinsi,,,,
,Angka Partisipasi Sekolah (APS) Menurut Provinsi dan Kelompok Umur,,,
,7/12/01,13-15,16-18,19-23
,2022,2022,2022,2022
ACEH,99.44,97.96,83.1,34.31
SUMATERA UTARA,99.5,96.78,78.66,29.06
SUMATERA BARAT,99.55,96.52,83.71,39.39
RIAU,99.61,95.72,77.32,30.23
JAMBI,99.33,96.2,72.53,25.1
SUMATERA SELATAN,99.38,95.06,70.93,19.82
BENGKULU,99.49,97.73,79.31,33.04
LAMPUNG,99.56,95.63,71.14,22.37
KEP. BANGKA BELITUNG,99.41,93,68.42,18.88
KEP. RIAU,99.28,99.01,84.54,22.66
DKI JAKARTA,99.44,97.95,72.1,27.23
JAWA BARAT,99.39,95.27,68.66,24.82
JAWA TENGAH,99.58,96.77,70.82,25.03
DI YOGYAKARTA,99.59,99.01,89.95,56.69
JAWA TIMUR,99.14,97.64,73.4,26.87
BANTEN,99.33,96.39,69.22,23.67
BALI,99.55,97.85,83.84,32.9
NUSA TENGGARA BARAT,99.17,97.74,77.43,26.93
NUSA TENGGARA TIMUR,98.59,94.83,75.55,32.12
KALIMANTAN BARAT,98.73,92.64,68.72,25.88
KALIMANTAN TENGAH,99.2,94.61,66.32,24.94
KALIMANTAN SELATAN,99.43,94.01,69.88,27.64
KALIMANTAN TIMUR,99.57,98.75,81.43,33.4
KALIMANTAN UTARA,98.98,97.03,76.5,29.01
SULAWESI UTARA,99.34,94.86,74.33,24.41
SULAWESI TENGAH,98.22,93.02,75.84,29.79
SULAWESI SELATAN,99.43,93.2,70.81,35.79
SULAWESI TENGGARA,99.05,94.8,74.53,33.98
GORONTALO,98.93,91.83,71.68,34.04
SULAWESI BARAT,98.4,89.39,70.85,25.02
MALUKU,99.55,97.69,79.03,43.43
MALUKU UTARA,99.13,97.59,77.7,32.65
PAPUA BARAT,98.27,97.37,80.56,34.98
PAPUA BARAT DAYA,-,-,-,-
PAPUA,84.35,81.66,65.93,25.12
PAPUA SELATAN,-,-,-,-
PAPUA TENGAH,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-
INDONESIA,99.1,95.92,73.15,27.61
