38 Provinsi,,,
,Persentase Rata-Rata Konsumsi Telekomunikasi Rumah Tangga Terhadap Konsumsi Total Menurut Provinsi (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2020,2020,2020
ACEH,3.44,2.82,3.08
SUMATERA UTARA,3.35,2.96,3.21
SUMATERA BARAT,3.55,2.9,3.27
RIAU,3.94,3.55,3.75
JAMBI,3.74,3.43,3.55
SUMATERA SELATAN,3.77,3.04,3.37
BENGKULU,4.01,2.81,3.34
LAMPUNG,3.51,2.91,3.15
KEP. BANGKA BELITUNG,3.68,3.19,3.5
KEP. RIAU,3.85,3.78,3.84
DKI JAKARTA,3.05,-,3.05
JAWA BARAT,3.35,2.73,3.24
JAWA TENGAH,3.29,3.13,3.23
DI YOGYAKARTA,3.4,2.59,3.27
JAWA TIMUR,3.5,2.88,3.28
BANTEN,3.36,2.56,3.21
BALI,3.61,3.12,3.5
NUSA TENGGARA BARAT,3.09,2.74,2.93
NUSA TENGGARA TIMUR,4.14,2.46,3.13
KALIMANTAN BARAT,4.24,3.25,3.72
KALIMANTAN TENGAH,4.67,3.82,4.23
KALIMANTAN SELATAN,3.81,3.36,3.62
KALIMANTAN TIMUR,4.19,4.12,4.17
KALIMANTAN UTARA,4.53,4.31,4.46
SULAWESI UTARA,4.13,3.28,3.8
SULAWESI TENGAH,4.67,3.41,3.92
SULAWESI SELATAN,4.04,3.06,3.6
SULAWESI TENGGARA,4.31,3.25,3.79
GORONTALO,4.27,3.82,4.06
SULAWESI BARAT,3.86,3.3,3.49
MALUKU,5.29,3.98,4.74
MALUKU UTARA,4.92,3.67,4.2
PAPUA BARAT,5.44,4.42,4.94
PAPUA BARAT DAYA,-,-,-
PAPUA,4.88,3.98,4.44
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,3.51,3.07,3.37
